little_sister 1.57 -0.23 1.33 1.57 -0.23 1.33
loafer -1.34 -1.51 -1.98 -1.34 -1.51 -1.98
lobbyist 0.40 0.91 1.46 0.40 0.91 1.46
loser -1.77 -1.67 -1.64 -1.77 -1.67 -1.64
loved_one 3.22 2.61 1.33 3.22 2.61 1.33
lunatic -1.73 -0.26 1.64 -1.73 -0.26 1.64
malcontent -1.32 -0.37 -0.33 -1.32 -0.37 -0.33
male 1.33 1.67 1.51 1.33 1.67 1.51
malingerer -0.96 -0.29 -0.72 -0.96 -0.29 -0.72
mamas_boy 0.40 -0.83 -0.90 0.40 -0.83 -0.90
man 0.96 1.76 1.16 0.96 1.76 1.16
manager 0.91 1.92 1.54 0.91 1.92 1.54
manageress 1.33 1.28 1.01 1.33 1.28 1.01
maniac -1.66 0.53 1.74 -1.66 0.53 1.74
Marine_Corps_enlistee 1.62 1.55 1.96 1.62 1.55 1.96
Marine_Corps_officer 1.21 2.30 1.51 1.21 2.30 1.51
Marine_Corps_reservist 1.80 1.42 0.86 1.80 1.42 0.86
masochist -2.06 -0.27 -0.05 -2.06 -0.27 -0.05
matriarch 0.90 1.18 0.53 0.90 1.18 0.53
mental_case -1.28 -1.20 -0.05 -1.28 -1.20 -0.05
merchant 0.96 0.84 0.90 0.96 0.84 0.90
millionaire 1.37 2.48 1.28 1.37 2.48 1.28
minister 1.77 1.52 0.11 1.77 1.52 0.11
miser -0.88 -0.39 -0.48 -0.88 -0.39 -0.48
mistress -1.65 -0.28 0.43 -1.65 -0.28 0.43
mobster -1.88 2.09 1.48 -1.88 2.09 1.48
moron -1.60 -1.91 -0.82 -1.60 -1.91 -0.82
mother-in-law 1.05 0.96 0.82 1.05 0.96 0.82
mother 2.80 2.47 1.30 2.80 2.47 1.30
mourner -0.85 -1.62 -2.07 -0.85 -1.62 -2.07
mouthpiece 0.67 0.20 -0.25 0.67 0.20 -0.25
mugger -2.87 -0.52 0.29 -2.87 -0.52 0.29
murderer -3.63 1.57 0.51 -3.63 1.57 0.51
murderess -2.72 0.72 0.21 -2.72 0.72 0.21
nark -1.53 -0.14 0.07 -1.53 -0.14 0.07
Native-American 1.18 -0.12 0.20 1.18 -0.12 0.20
Navy_enlistee 1.89 1.64 1.95 1.89 1.64 1.95
Navy_officer 1.12 1.53 1.27 1.12 1.53 1.27
Navy_reservist 1.50 1.32 1.02 1.50 1.32 1.02
negotiator 1.95 1.87 0.91 1.95 1.87 0.91
neighbor 1.44 0.36 0.14 1.44 0.36 0.14
nephew 2.02 0.44 1.31 2.02 0.44 1.31
neurotic -1.22 -0.91 1.02 -1.22 -0.91 1.02
newlywed 2.49 1.71 1.73 2.49 1.71 1.73
niece 2.23 0.32 1.16 2.23 0.32 1.16
nobody -1.25 -2.02 -2.20 -1.25 -2.02 -2.20
nonsmoker 2.04 1.17 0.29 2.04 1.17 0.29
novice 0.74 -0.16 -0.03 0.74 -0.16 -0.03
nurse 2.26 1.22 0.27 2.26 1.22 0.27
nut 0.35 -0.56 0.60 0.35 -0.56 0.60
nymphomaniac 0.06 0.24 1.83 0.06 0.24 1.83
office_boy 0.98 -1.12 -0.15 0.98 -1.12 -0.15
